animal,session,stim number,start,end
GIIFM19,video0_coords,1,1441,1691
GIIFM19,video0_coords,2,5148,5398
GIIFM19,video0_coords,3,6627,6877
GIIFM19,video0_coords,4,8124,8374
GIIFM19,video0_coords,5,9700,9950
GIIFM19,video1_coords,1,422,672
GIIFM19,video1_coords,2,2660,2910
GIIFM19,video1_coords,3,4161,4411
GIIFM19,video1_coords,4,5681,5931
GIIFM19,video1_coords,5,7185,7435
GIIFM19,video2_coords,1,1869,2119
GIIFM19,video2_coords,2,3625,3875
GIIFM19,video2_coords,3,4914,5164
GIIFM19,video2_coords,4,6319,6569
GIIFM19,video2_coords,5,8359,8609
GIIFM19,video3_coords,1,567,818
GIIFM19,video3_coords,2,2458,2708
GIIFM19,video3_coords,3,3990,4240
GIIFM19,video3_coords,4,5473,5723
GIIFM19,video3_coords,5,7320,7570
GIIFM19,video4_coords,1,747,997
GIIFM19,video4_coords,2,2709,2959
GIIFM19,video4_coords,3,4073,4324
GIIFM19,video4_coords,4,5622,5873
GIIFM19,video4_coords,5,7126,7376
GIIFM19,video5_coords,1,1545,2296
